,x,y,length,width,area
590,242,907,1,1,1
591,234,908,3,1,3
592,412,909,1,1,1
593,235,911,1,1,1
594,399,911,3,1,3
595,228,913,3,1,3
596,390,912,2,1,2
597,393,912,2,3,4
598,401,913,3,2,3
599,224,914,2,2,2
600,388,914,2,1,2
601,396,914,2,2,3
602,399,914,1,1,1
603,219,916,3,1,3
604,381,916,1,1,1
605,205,919,3,2,4
606,219,919,1,1,1
607,366,919,2,1,2
608,351,923,1,1,1
609,359,922,1,1,1
610,187,924,3,2,4
611,341,927,2,1,2
612,348,926,2,1,2
613,176,931,1,1,1
614,320,931,1,1,1
615,174,933,1,1,1
616,177,934,1,1,1
617,306,936,1,2,2
618,314,936,2,1,2
619,308,938,1,1,1
620,146,940,2,1,2
621,303,940,1,1,1
622,288,944,1,1,1
623,292,944,2,1,2
624,124,950,4,1,4
625,261,951,1,1,1
626,264,951,1,1,1
627,1611,956,1,1,1
628,1916,964,1,1,1
629,785,996,11,6,30
630,152,998,1,1,1
631,143,1004,1,1,1
632,1261,1011,45,68,684
633,1502,1012,3,2,4
634,752,1016,3,1,3
635,748,1020,4,4,14
636,95,1029,1,1,1
637,816,1032,24,14,109
638,1916,1040,4,1,4
639,807,1047,10,14,74
640,796,1061,14,18,113
641,49,1063,1,1,1
